source,name,primary_language,all_languages,classification,antipatterns,last_activity,stars_or_commits,forks,description
github:hyperpolymath,polyglot-i18n,JavaScript,"Shell JavaScript ReScript Just Rust Scheme Nickel Dockerfile Ada Julia Tree-sitter Query",MIGRATE,DENO_NOT_BUN,2026-07-15T19:37:03Z,2,0,"Polyglot internationalization framework"
github:hyperpolymath,social-media-tools,Rust,"Scheme Just Nickel Dockerfile Roff Nix PLpgSQL TypeScript ReScript Rust Elixir Julia Ada Clojure Shell HTML JavaScript CSS",MIGRATE,UNVERIFIED_RUST DENO_NOT_BUN NIX_PRESENT,2026-07-15T19:36:57Z,2,0,"Social media analysis and verification tools"
github:hyperpolymath,panic-attack,Rust,"Rust Scheme Nickel Dockerfile Shell Just Chapel TeX Zig Idris Julia",CLEAN,UNVERIFIED_RUST DIRECT_FFI_NO_HEXADECA,2026-07-15T19:35:54Z,2,0,"Universal stress testing and logic-based bug signature detection"
github:hyperpolymath,quandledb,Julia,"Elixir Zig Nickel HTML CSS TeX Julia Idris Agda TLA Shell",CLEAN,NIF_WITHOUT_SNIF DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-15T19:35:50Z,2,0,"Quandle database — top-level monorepo"
github:hyperpolymath,social-media-polygraph,Elixir,"Just Dockerfile Rust HTML JavaScript CSS Nickel Elixir ReScript Scheme Shell",MIGRATE,UNVERIFIED_RUST DENO_NOT_BUN,2026-07-15T19:35:47Z,2,0,"AI-powered fact-checking and misinformation detection for social media (graduated from repos-monorepo 2026-04-26)"
github:hyperpolymath,coq-jr,Nickel,"Scheme Nickel Haskell Forth HTML Dune CSS JavaScript",MIGRATE,DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-15T19:35:42Z,2,0,"Coq-JR — Coq proof toolchain"
github:hyperpolymath,cafescripto,Just,"Shell Just Dockerfile Nickel Scheme Idris Zig Agda Rocq Prover Lean TLA",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T19:34:36Z,2,0,"CoffeeScript-syntax AffineScript — affine resource guarantees + typed-wasm output for CoffeeScript-shaped code"
github:hyperpolymath,lucidscript,Just,"Shell Just Dockerfile Nickel Scheme Idris Zig Agda Rocq Prover Lean TLA",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T19:34:31Z,2,0,"PureScript / Haskell-syntax AffineScript — affine resource guarantees + typed-wasm output for PureScript/Haskell-shaped code"
github:hyperpolymath,affinescript,OCaml,"Dune Just Shell Nickel Haskell JavaScript Tree-sitter Query TypeScript Zig OCaml Standard ML Rust CSS Julia Idris Agda Rocq Prover",MIGRATE,DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-15T19:34:24Z,3,0,"Resource-safe  effect-typed programs in syntax you already know. A checked affine core with familiar Faces — JavaScript-  Python-  functional-  and pseudocode-shaped surfaces — compiling to typed WebAssembly."
github:hyperpolymath,blue-screen-of-app,Nickel,"Dockerfile Just Scheme Nickel Zig Shell ReScript JavaScript",MIGRATE,DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-15T19:32:38Z,2,0,"Blue Screen of App — application crash analysis and fault injection testing"
github:hyperpolymath,raze-tui,Ada,"Ada Rust Zig Shell Scheme Just Idris TypeScript Nickel",MIGRATE,DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-15T19:29:01Z,3,0,"Rust-Ada-Zig TUI library: Zig FFI bridge between Rust core and Ada/SPARK TUI"
github:hyperpolymath,robodog-defensive-systems-lab,Rust,"Shell Scheme Just Nickel Idris Zig C Rust Ada",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T19:28:35Z,1,0,"Resilience  secure coordination  and safety simulation for autonomous systems"
github:hyperpolymath,megadog,Pony,"Nickel Dockerfile Vyper Just Shell Pony Lean Scheme",DONE,NONE,2026-07-15T19:26:59Z,2,0,"Ethical merge game with Mandelbrot dogtags - no scams  just maths."
github:hyperpolymath,gitbot-fleet,Rust,"Just Rust Prolog Dockerfile Scheme Nickel Solidity Shell Makefile Tcl Logtalk PowerShell HTML JavaScript Go Template Elixir",MIGRATE,UNVERIFIED_RUST DIRECT_FFI_NO_HEXADECA,2026-07-15T19:24:56Z,2,0,"Bot fleet for repository quality enforcement"
github:hyperpolymath,methodologies,Just,"Dockerfile Shell Scheme Nickel Just",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T19:23:45Z,2,0,"Captured design decisions  learnings  and methodologies from AI-assisted software development"
github:hyperpolymath,a2ml_gleam,Gleam,"Gleam Shell Scheme Just",DONE,NONE,2026-07-15T19:23:39Z,3,0,"A2ML (AI Attestation Markup Language) parser and renderer for Gleam"
github:hyperpolymath,academic-workflow-suite,Shell,"Makefile Shell Rust Dockerfile Elixir HTML ReScript JavaScript PLpgSQL PowerShell Ruby CSS Go Template Nickel Zig Scheme Just",MIGRATE,UNVERIFIED_RUST DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-15T19:23:26Z,2,0,"Academic workflow tools for research and publication management"
github:hyperpolymath,double-track-browser,Rust,"Just Rust Shell TypeScript CSS HTML Nickel Zig Scheme",MIGRATE,UNVERIFIED_RUST DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-15T19:20:35Z,2,0,"Privacy browser with fictional identity management"
github:hyperpolymath,a2ml_ex,Elixir,"Elixir Shell Scheme Just Nickel",DONE,NONE,2026-07-15T19:18:48Z,2,0,"A2ML (AI Attestation Markup Language) parser and renderer for Elixir"
github:hyperpolymath,cicd-squabbler,Nickel,"Dockerfile Shell Nickel Idris Just Scheme Zig Agda Rocq Prover Lean TLA Rust Ada",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T19:12:55Z,1,0,""
github:hyperpolymath,dotmatrix-fileprinter,JavaScript,"Just Nickel Rust HTML Forth JavaScript CSS Zig Shell Scheme",MIGRATE,UNVERIFIED_RUST DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA VITE_DEBATE,2026-07-15T19:08:51Z,2,0,"Neurosymbolic filesystem manipulation suite"
github:hyperpolymath,anvomidav,Just,"Elixir Shell Scheme Just",DONE,NONE,2026-07-15T19:08:48Z,3,0,"The first programming language for choreographers of figure skating"
github:hyperpolymath,airborne-submarine-squadron,JavaScript,"Just Shell Zig JavaScript Rust HTML PowerShell Makefile Nickel",MIGRATE,NIF_WITHOUT_SNIF UNVERIFIED_RUST DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-15T19:05:19Z,2,0,"Airborne Submarine Squadron was originally iintended as a modern resurrection of the classic Sopwith‑era arcade — except your aircraft is also a submarine can explore the depth of the Earth  and your sky bleeds into orbit...."
github:hyperpolymath,neurophone,Rust,"Rust Shell Just Scheme Dockerfile Nickel TLA Dafny Lean HTML CSS Java",MIGRATE,DENO_NOT_BUN,2026-07-15T19:03:37Z,2,0,"NeuroPhone is a complete Android application for neurosymbolic AI on mobile devices. It combines spiking neural networks with large language models for advanced on-device intelligence."
github:hyperpolymath,rsr-julia-library-template-repo,Nickel,"Dockerfile Shell Nickel Idris Just Scheme Zig Agda Rocq Prover Lean TLA Julia",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T18:53:45Z,1,0,"RSR template for standalone Julia library packages — full Rhodium Standard substrate (descriptiles/contractiles  governance  estate CI) + Pkg/Documenter/Aqua/JET toolchain. Julia variant of rsr-template-repo."
github:hyperpolymath,ideas-to-alphas,Just,"Dockerfile Shell Scheme Nickel Just Idris Zig Agda Rocq Prover Lean TLA JavaScript HTML CSS",MIGRATE,DIRECT_FFI_NO_HEXADECA,2026-07-15T18:52:10Z,2,0,"Research origination space for exploring type-theory ideas before promotion to production repos."
github:hyperpolymath,glyphbase,ReScript,"Dockerfile Just Zig Shell C Erlang Rust Idris Gleam HTML ReScript CSS JavaScript",MIGRATE,NIF_WITHOUT_SNIF UNVERIFIED_RUST DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA VITE_DEBATE,2026-07-15T18:51:48Z,1,0,"Glyphbase — Airtable-equivalent delivery mode for LithoglyphDB (reserved; source in nextgen-databases/lithoglyph/glyphbase  migration pending)"
github:hyperpolymath,gnpl,Lean,"Dockerfile Just Zig TypeScript Nickel Lean Shell Idris",MIGRATE,NIF_WITHOUT_SNIF DIRECT_FFI_NO_HEXADECA,2026-07-15T18:50:29Z,1,0,"GNPL — Lithoglyph’s narration/projection language for forensic histories  counterfactual paths  plural meanings  and synchronic/diachronic evidence interpretation."
github:hyperpolymath,ZeroProb.jl,Julia,"Scheme Nickel Julia Zig Shell Just",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T18:18:54Z,2,0,"Julia package: ZeroProb"
